,CVX,MPC,PSX,XOM
2019-08-08,117.66313171386719,47.287960052490234,96.82430267333984,68.31483459472656
2019-08-09,116.88971710205078,46.20889663696289,96.5647201538086,66.861328125
2019-08-12,116.05902862548828,44.260841369628906,94.51689910888672,66.53643035888672
2019-08-13,116.86106872558594,45.02478790283203,95.8917236328125,67.35822296142578
2019-08-14,112.42112731933594,42.618370056152344,93.7669906616211,64.6444091796875
2019-08-15,111.66682434082031,43.35366439819336,93.70930480957031,64.26217651367188
2019-08-16,111.71505737304688,44.13669967651367,95.01683807373047,65.2655258178711
2019-08-19,113.16201782226562,45.65503692626953,95.8221435546875,66.36442565917969
2019-08-20,112.02373504638672,45.11428451538086,95.74451446533203,65.96308898925781
2019-08-21,113.71185302734375,45.606754302978516,96.34607696533203,66.6224365234375
2019-08-22,113.56717681884766,45.2784423828125,95.53106689453125,66.47909545898438
2019-08-23,111.10733032226562,44.187278747558594,92.34864044189453,64.49150848388672
2019-08-26,111.64752197265625,44.45765686035156,93.44501495361328,64.83551788330078
2019-08-27,111.7343521118164,43.772056579589844,91.70826721191406,64.20484161376953
2019-08-28,112.69898986816406,44.73768997192383,93.3091812133789,64.67306518554688
2019-08-29,113.36458587646484,46.89104461669922,95.20117950439453,65.3897476196289
2019-08-30,113.5575180053711,47.51870346069336,95.69599914550781,65.43753051757812
2019-09-03,112.15878295898438,47.93392562866211,96.5110092163086,65.51396942138672
2019-09-04,113.10414123535156,48.91886901855469,96.72447967529297,66.21154022216797
2019-09-05,113.48035430908203,50.67631530761719,96.83120727539062,67.14799499511719
2019-09-06,114.07843017578125,50.666664123535156,97.90818786621094,67.77867126464844
2019-09-09,115.16846466064453,51.7385139465332,99.13069152832031,68.31378936767578
2019-09-10,117.54148864746094,52.607582092285156,99.89720153808594,68.86802673339844
2019-09-11,116.99163818359375,52.25029754638672,99.4217758178711,68.73424530029297
2019-09-12,117.1266860961914,51.361915588378906,99.15010070800781,68.78202056884766
2019-09-13,117.20386505126953,51.45848083496094,99.71284484863281,69.4126968383789
2019-09-16,119.7312240600586,50.60872268676758,100.93536376953125,70.45427703857422
2019-09-17,119.50935363769531,51.5743522644043,99.15979766845703,69.91915130615234
2019-09-18,119.78909301757812,51.912322998046875,99.92630767822266,69.58470153808594
2019-09-19,119.28749084472656,52.06682586669922,100.01363372802734,69.11647033691406
2019-09-20,119.92414093017578,53.206268310546875,100.1979751586914,68.87757873535156
2019-09-23,120.483642578125,53.86289596557617,101.15852355957031,68.92535400390625
2019-09-24,119.36465454101562,53.573211669921875,100.53755950927734,67.9793472290039
2019-09-25,119.14279174804688,58.08271026611328,101.93473052978516,68.18000793457031
2019-09-26,115.91124725341797,58.74899673461914,101.44960021972656,67.81690216064453
2019-09-27,114.40640258789062,60.274688720703125,100.57638549804688,68.30424499511719
2019-09-30,114.40640258789062,58.662086486816406,99.35385131835938,67.47289276123047
2019-10-01,111.9079818725586,58.304805755615234,98.02461242675781,65.88664245605469
2019-10-02,108.31951904296875,57.16535949707031,95.3176040649414,64.16661071777344
2019-10-03,109.14911651611328,57.9378662109375,95.92887115478516,64.9597396850586
2019-10-04,109.8243637084961,58.652435302734375,97.85966491699219,65.90575408935547
2019-10-07,109.2552261352539,58.324119567871094,98.34478759765625,64.99796295166016
2019-10-08,107.76002502441406,57.7640495300293,97.82086181640625,63.73659896850586
2019-10-09,109.13946533203125,58.47861862182617,99.6546401977539,64.44373321533203
2019-10-10,110.5381851196289,59.80152893066406,103.42891693115234,65.2177505493164
2019-10-11,112.04302978515625,61.24032211303711,103.36100006103516,65.91532135009766
2019-10-14,112.07197570800781,60.96994400024414,103.47743225097656,66.10643005371094
2019-10-15,112.19737243652344,61.848670959472656,104.10809326171875,66.33575439453125
2019-10-16,111.03981018066406,60.5354118347168,103.09902954101562,65.19863891601562
2019-10-17,111.27130889892578,61.896949768066406,104.02076721191406,65.11263275146484
2019-10-18,110.68289184570312,62.901206970214844,104.01106262207031,64.6061782836914
2019-10-21,112.48677062988281,62.44736099243164,104.98131561279297,65.68597412109375
2019-10-22,113.63469696044922,62.93983459472656,105.53436279296875,66.02042388916016
2019-10-23,113.80833435058594,63.606117248535156,105.75752258300781,66.6511001586914
2019-10-24,113.42247009277344,64.06962585449219,107.33903503417969,66.02042388916016
2019-10-25,114.47393035888672,65.67256927490234,111.01628875732422,66.1733169555664
2019-10-28,114.2906494140625,65.25735473632812,113.7621078491211,65.59040832519531
2019-10-29,113.95301818847656,65.68222045898438,115.4212417602539,65.39929962158203
2019-10-30,112.24561309814453,63.91512680053711,112.98589324951172,64.71129608154297
2019-10-31,112.03338623046875,61.75210952758789,113.34489440917969,64.56795501708984
2019-11-01,112.10090637207031,64.18550109863281,114.87789916992188,66.50775909423828
2019-11-04,117.27139282226562,65.60498046875,115.01372528076172,68.48579406738281
2019-11-05,117.62830352783203,64.15653991699219,115.38243103027344,69.84270477294922
2019-11-06,115.66044616699219,62.070762634277344,114.89730072021484,68.31378936767578
2019-11-07,117.58007049560547,63.97305679321289,116.01309204101562,69.76626586914062
2019-11-08,116.65402221679688,63.95375061035156,116.13922119140625,68.44133758544922
2019-11-11,116.53826141357422,63.45161437988281,114.88760375976562,68.0254898071289
2019-11-12,116.68295288085938,62.669456481933594,114.58682250976562,67.08740997314453
2019-11-13,117.95628356933594,62.04179763793945,114.9070053100586,66.53617095947266
2019-11-14,117.64759826660156,62.234920501708984,115.886962890625,66.24603271484375
2019-11-15,117.52095794677734,62.4666748046875,115.71098327636719,66.913330078125
2019-11-18,115.48499298095703,62.32183074951172,115.99449920654297,66.26537322998047
2019-11-19,113.43928527832031,60.21879577636719,114.79202270507812,65.58841705322266
2019-11-20,114.30626678466797,60.17011642456055,113.46246337890625,65.79149627685547
2019-11-21,115.69930267333984,61.572139739990234,115.72077178955078,67.3775405883789
2019-11-22,115.56291961669922,60.71534729003906,114.01970672607422,67.08740997314453
2019-11-25,115.31938171386719,60.78350067138672,112.83678436279297,66.64254760742188
2019-11-26,114.74464416503906,60.043540954589844,111.77118682861328,66.47813415527344
2019-11-27,115.01740264892578,59.848819732666016,112.12313079833984,66.439453125
2019-11-29,114.10169982910156,59.040706634521484,112.15245819091797,65.8882064819336
2019-12-02,113.78024291992188,59.264644622802734,111.77118682861328,66.16866302490234
2019-12-03,112.89376068115234,58.44679260253906,110.22654724121094,65.64643096923828
2019-12-04,113.91661834716797,58.44679260253906,110.05057525634766,66.39110565185547
2019-12-05,113.3223876953125,58.271541595458984,110.02124786376953,66.15899658203125
2019-12-06,114.95895385742188,58.61231231689453,111.01841735839844,67.2228012084961
2019-12-09,114.2673110961914,56.88899612426758,109.45423126220703,67.36786651611328
2019-12-10,114.84204864501953,57.12266159057617,109.42489624023438,66.78760528564453
